Name,URL,Query,Rating,Reviews,Phone,Address,Website
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2ca41af76cdd:0xb5f570ef95cfe142!8m2!3d41.8810317!4d-87.6240843!16s%2Fg%2F12lkzwq2y!19sChIJ3Wz3GqQsDogRQuHPle9w9bU?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.3,17,-,-,-
Gary's Cycle Shop,https://www.google.com/maps/place/Gary%27s+Cycle+Shop/data=!4m7!3m6!1s0x880fd1bd0f3c953f:0xe17168bea9c034bc!8m2!3d41.9969877!4d-87.6700275!16s%2Fg%2F1tg2l7z8!19sChIJP5U8D73RD4gRvDTAqb5oceE?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,94,-,-,-
Nearly New Bicycles,https://www.google.com/maps/place/Nearly+New+Bicycles/data=!4m7!3m6!1s0x880fd3b70dac889b:0x9de9bd57cae6b50!8m2!3d41.9565133!4d-87.6516503!16s%2Fg%2F1pp2v3gb8!19sChIJm4isDbfTD4gRUGuufNWb3gk?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.9,237,-,-,-
Ordonez Bike Shop - Chicago | Bicycle Service & Repairs | Bicycle Customization,https://www.google.com/maps/place/Ordonez+Bike+Shop+-+Chicago+%7C+Bicycle+Service+%26+Repairs+%7C+Bicycle+Customization/data=!4m7!3m6!1s0x880fcf9efeabb16b:0x9e2310f82ac52d7f!8m2!3d41.9860487!4d-87.700474!16s%2Fg%2F11pyjsy84c!19sChIJa7Gr_p7PD4gRfy3FKvgQI54?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.7,77,-,-,-
Uptown Bikes,https://www.google.com/maps/place/Uptown+Bikes/data=!4m7!3m6!1s0x880fd22d33607097:0x8c44f47fdbed8cd7!8m2!3d41.9669395!4d-87.6580835!16s%2Fg%2F1tj4hn7d!19sChIJl3BgMy3SD4gR14zt23_0RIw?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.6,149,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2cab45e3c287:0xa4cae574e715b74d!8m2!3d41.8943452!4d-87.6227984!16s%2Fg%2F1ptwwmdvs!19sChIJh8LjRassDogRTbcV53TlyqQ?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.0,5,-,-,-
Your Community Bike Shop,https://www.google.com/maps/place/Your+Community+Bike+Shop/data=!4m7!3m6!1s0x880fd1faf8d83e55:0xa483a1a1ced17082!8m2!3d41.983279!4d-87.6896087!16s%2Fg%2F11cmt7hfmx!19sChIJVT7Y-PrRD4gRgnDRzqGhg6Q?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.6,79,-,-,-
Stellar Cycleworks,https://www.google.com/maps/place/Stellar+Cycleworks/data=!4m7!3m6!1s0x4f361f2d59e7cf27:0x5c9206eb98fb00fe!8m2!3d41.9105597!4d-87.6832105!16s%2Fg%2F11rkmsxd9m!19sChIJJ8_nWS0fNk8R_gD7mOsGklw?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,5.0,40,-,-,-
Small Shop Cycles & Service,https://www.google.com/maps/place/Small+Shop+Cycles+%26+Service/data=!4m7!3m6!1s0x880e2be2efdc1003:0x55c32f27efbe6664!8m2!3d41.8171113!4d-87.6070765!16s%2Fg%2F11cmbpd4cs!19sChIJAxDc7-IrDogRZGa-7ycvw1U?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,131,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd39fbbb9b7dd:0x667929cc50459b42!8m2!3d41.9366885!4d-87.636829!16s%2Fg%2F11b67rj24x!19sChIJ3be5u5_TD4gRQptFUMwpeWY?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.9,7,-,-,-
